#Photon energy	Wavelength	ep1	ep2	n	k
#eV	m				
4.151e-01	2.987e-06	-4.221e+02	4.535e+01	1.102e+00	2.057e+01
4.132e-01	3.001e-06	-4.260e+02	4.597e+01	1.112e+00	2.067e+01
4.113e-01	3.015e-06	-4.300e+02	4.661e+01	1.122e+00	2.077e+01
4.094e-01	3.029e-06	-4.340e+02	4.726e+01	1.132e+00	2.086e+01
4.075e-01	3.043e-06	-4.381e+02	4.792e+01	1.143e+00	2.096e+01
4.056e-01	3.057e-06	-4.423e+02	4.859e+01	1.153e+00	2.106e+01
4.036e-01	3.072e-06	-4.465e+02	4.928e+01	1.164e+00	2.116e+01
4.017e-01	3.086e-06	-4.508e+02	4.997e+01	1.175e+00	2.126e+01
3.998e-01	3.101e-06	-4.551e+02	5.069e+01	1.186e+00	2.137e+01
3.979e-01	3.116e-06	-4.595e+02	5.141e+01	1.197e+00	2.147e+01
3.960e-01	3.131e-06	-4.640e+02	5.215e+01	1.209e+00	2.157e+01
3.941e-01	3.146e-06	-4.685e+02	5.290e+01	1.220e+00	2.168e+01
3.922e-01	3.162e-06	-4.731e+02	5.367e+01	1.232e+00	2.179e+01
3.903e-01	3.177e-06	-4.778e+02	5.445e+01	1.244e+00	2.189e+01
3.883e-01	3.193e-06	-4.825e+02	5.525e+01	1.256e+00	2.200e+01
3.864e-01	3.209e-06	-4.873e+02	5.606e+01	1.268e+00	2.211e+01
3.845e-01	3.224e-06	-4.921e+02	5.689e+01	1.280e+00	2.222e+01
3.826e-01	3.241e-06	-4.971e+02	5.774e+01	1.293e+00	2.233e+01
3.807e-01	3.257e-06	-5.021e+02	5.860e+01	1.305e+00	2.245e+01
3.788e-01	3.273e-06	-5.072e+02	5.948e+01	1.318e+00	2.256e+01
3.769e-01	3.290e-06	-5.123e+02	6.038e+01	1.331e+00	2.267e+01
3.749e-01	3.307e-06	-5.175e+02	6.129e+01	1.345e+00	2.279e+01
3.730e-01	3.324e-06	-5.229e+02	6.222e+01	1.358e+00	2.291e+01
3.711e-01	3.341e-06	-5.283e+02	6.318e+01	1.372e+00	2.302e+01
3.692e-01	3.358e-06	-5.337e+02	6.415e+01	1.386e+00	2.314e+01
3.673e-01	3.376e-06	-5.393e+02	6.514e+01	1.400e+00	2.326e+01
3.654e-01	3.393e-06	-5.449e+02	6.615e+01	1.414e+00	2.339e+01
3.635e-01	3.411e-06	-5.507e+02	6.719e+01	1.429e+00	2.351e+01
3.616e-01	3.429e-06	-5.565e+02	6.824e+01	1.444e+00	2.363e+01
3.596e-01	3.447e-06	-5.624e+02	6.932e+01	1.459e+00	2.376e+01
3.577e-01	3.466e-06	-5.684e+02	7.042e+01	1.474e+00	2.389e+01
3.558e-01	3.485e-06	-5.745e+02	7.154e+01	1.490e+00	2.401e+01
3.539e-01	3.503e-06	-5.807e+02	7.269e+01	1.505e+00	2.414e+01
3.520e-01	3.522e-06	-5.870e+02	7.386e+01	1.521e+00	2.428e+01
3.501e-01	3.542e-06	-5.934e+02	7.506e+01	1.538e+00	2.441e+01
3.482e-01	3.561e-06	-5.999e+02	7.628e+01	1.554e+00	2.454e+01
3.463e-01	3.581e-06	-6.065e+02	7.753e+01	1.571e+00	2.468e+01
3.443e-01	3.601e-06	-6.132e+02	7.881e+01	1.588e+00	2.481e+01
3.424e-01	3.621e-06	-6.200e+02	8.011e+01	1.605e+00	2.495e+01
3.405e-01	3.641e-06	-6.269e+02	8.145e+01	1.623e+00	2.509e+01
3.386e-01	3.662e-06	-6.340e+02	8.281e+01	1.641e+00	2.523e+01
3.367e-01	3.683e-06	-6.412e+02	8.420e+01	1.659e+00	2.538e+01
3.348e-01	3.704e-06	-6.484e+02	8.563e+01	1.678e+00	2.552e+01
3.329e-01	3.725e-06	-6.558e+02	8.708e+01	1.697e+00	2.567e+01
3.310e-01	3.746e-06	-6.634e+02	8.858e+01	1.716e+00	2.581e+01
3.290e-01	3.768e-06	-6.710e+02	9.010e+01	1.735e+00	2.596e+01
3.271e-01	3.790e-06	-6.788e+02	9.166e+01	1.755e+00	2.611e+01
3.252e-01	3.812e-06	-6.867e+02	9.325e+01	1.775e+00	2.627e+01
3.233e-01	3.835e-06	-6.948e+02	9.489e+01	1.796e+00	2.642e+01
3.214e-01	3.858e-06	-7.030e+02	9.656e+01	1.817e+00	2.658e+01
3.195e-01	3.881e-06	-7.113e+02	9.827e+01	1.838e+00	2.673e+01
3.176e-01	3.904e-06	-7.198e+02	1.000e+02	1.859e+00	2.689e+01
3.156e-01	3.928e-06	-7.285e+02	1.018e+02	1.881e+00	2.706e+01
3.137e-01	3.952e-06	-7.373e+02	1.036e+02	1.904e+00	2.722e+01
3.118e-01	3.976e-06	-7.462e+02	1.055e+02	1.927e+00	2.738e+01
3.099e-01	4.001e-06	-7.553e+02	1.074e+02	1.950e+00	2.755e+01
3.080e-01	4.026e-06	-7.646e+02	1.094e+02	1.974e+00	2.772e+01
3.061e-01	4.051e-06	-7.741e+02	1.114e+02	1.998e+00	2.789e+01
3.042e-01	4.076e-06	-7.837e+02	1.135e+02	2.022e+00	2.807e+01
3.023e-01	4.102e-06	-7.935e+02	1.156e+02	2.047e+00	2.824e+01
3.003e-01	4.128e-06	-8.034e+02	1.178e+02	2.072e+00	2.842e+01
2.984e-01	4.155e-06	-8.136e+02	1.200e+02	2.098e+00	2.860e+01
2.965e-01	4.181e-06	-8.240e+02	1.223e+02	2.125e+00	2.878e+01
2.946e-01	4.209e-06	-8.345e+02	1.247e+02	2.152e+00	2.897e+01
2.927e-01	4.236e-06	-8.452e+02	1.271e+02	2.179e+00	2.915e+01
2.908e-01	4.264e-06	-8.562e+02	1.295e+02	2.207e+00	2.934e+01
