#Photon energy	Wavelength	ep1	ep2	n	k
#eV	m				
5.567e-01	2.227e-06	-2.470e+02	2.187e+01	6.950e-01	1.573e+01
5.548e-01	2.235e-06	-2.488e+02	2.209e+01	6.997e-01	1.579e+01
5.529e-01	2.243e-06	-2.505e+02	2.232e+01	7.044e-01	1.584e+01
5.490e-01	2.258e-06	-2.540e+02	2.279e+01	7.141e-01	1.595e+01
5.471e-01	2.266e-06	-2.558e+02	2.302e+01	7.190e-01	1.601e+01
5.452e-01	2.274e-06	-2.577e+02	2.326e+01	7.239e-01	1.607e+01
5.433e-01	2.282e-06	-2.595e+02	2.351e+01	7.289e-01	1.613e+01
5.395e-01	2.298e-06	-2.632e+02	2.401e+01	7.391e-01	1.624e+01
5.375e-01	2.307e-06	-2.651e+02	2.426e+01	7.442e-01	1.630e+01
5.356e-01	2.315e-06	-2.670e+02	2.452e+01	7.494e-01	1.636e+01
5.337e-01	2.323e-06	-2.690e+02	2.478e+01	7.547e-01	1.642e+01
5.299e-01	2.340e-06	-2.729e+02	2.532e+01	7.654e-01	1.654e+01
5.280e-01	2.348e-06	-2.749e+02	2.559e+01	7.708e-01	1.660e+01
5.261e-01	2.357e-06	-2.769e+02	2.587e+01	7.763e-01	1.666e+01
5.242e-01	2.365e-06	-2.790e+02	2.615e+01	7.819e-01	1.672e+01
5.223e-01	2.374e-06	-2.810e+02	2.643e+01	7.875e-01	1.678e+01
5.203e-01	2.383e-06	-2.831e+02	2.672e+01	7.932e-01	1.684e+01
5.184e-01	2.392e-06	-2.852e+02	2.701e+01	7.989e-01	1.691e+01
5.146e-01	2.409e-06	-2.895e+02	2.762e+01	8.106e-01	1.703e+01
5.127e-01	2.418e-06	-2.917e+02	2.792e+01	8.165e-01	1.710e+01
5.108e-01	2.427e-06	-2.939e+02	2.823e+01	8.225e-01	1.716e+01
5.089e-01	2.437e-06	-2.961e+02	2.855e+01	8.286e-01	1.723e+01
5.069e-01	2.446e-06	-2.984e+02	2.887e+01	8.347e-01	1.729e+01
5.050e-01	2.455e-06	-3.006e+02	2.920e+01	8.409e-01	1.736e+01
5.031e-01	2.464e-06	-3.029e+02	2.953e+01	8.472e-01	1.743e+01
5.012e-01	2.474e-06	-3.053e+02	2.986e+01	8.535e-01	1.749e+01
4.993e-01	2.483e-06	-3.076e+02	3.020e+01	8.599e-01	1.756e+01
4.974e-01	2.493e-06	-3.100e+02	3.055e+01	8.664e-01	1.763e+01
4.955e-01	2.502e-06	-3.124e+02	3.090e+01	8.730e-01	1.770e+01
4.935e-01	2.512e-06	-3.149e+02	3.125e+01	8.796e-01	1.777e+01
4.916e-01	2.522e-06	-3.173e+02	3.162e+01	8.863e-01	1.784e+01
4.897e-01	2.532e-06	-3.198e+02	3.198e+01	8.931e-01	1.791e+01
4.878e-01	2.542e-06	-3.223e+02	3.236e+01	8.999e-01	1.798e+01
